payer_name,bucket,specification
Blue Cross Preferred Patient Care/Blue Choice,Commercial,Blue Cross Blue Shield
Blue Cross Simply Blue,Commercial,Blue Cross Blue Shield
Blue Cross Traditional,Commercial,Blue Cross Blue Shield
Blue Medicare,Government,Medicare
BlueCross,Commercial,Blue Cross Blue Shield
Broward Health,Commercial,Broward
CAPITAL,Commercial,Capital
CAPITAL HEALTH PLAN,Commercial,Capital
CAPITAL HEALTH PLAN [100255],Commercial,Capital
CARELON BEHAVIORAL HEALTH MEDICAID [450115],Government,Medicaid
CARELON BEHAVIORAL HEALTH [100379],Commercial,Carelon
CAREPLUS HEALTH MEDICARE [450130],Government,Medicare
CAREPLUS MCR REPLACEMENT,Commercial,Careplus
CARESOURCE OF GEORGIA MEDICAID [450121],Government,Medicaid
CCMSI [700077],Commercial,Other Commercial
CELTIC INSURANCE COMPANY [100356],Commercial,Other Commercial
CENPATICO SUNSHINE HEALTH MCD,Government,Medicaid
CENTIVO [100272],Commercial,Centivo
CENTRAL STATES INDEMNITY [100374],Commercial,Other Commercial
CHAMPVA [500001],Commercial,Champva
CHILDREN MEDICAL SERVICES MCD,Government,Medicaid
CHS,Unknown,Unknown
CIGNA,Commercial,Cigna
CIGNA BEHAVIORAL HEALTH [100288],Commercial,Cigna
CIGNA HEALTHCARE FL,Commercial,Cigna
CIGNA HEALTHSPRING,Commercial,Cigna
CIGNA HMO,Commercial,Cigna
CIGNA HMO NEW BUSINESS,Commercial,Cigna
CIGNA MCR HMO/PPO [250525],Commercial,Cigna
CIGNA PPO,Commercial,Cigna
CIGNA [100009],Commercial,Cigna
CIGNA [210201],Commercial,Cigna
CLAY COUNTY SHERIFF'S OFFICE [500025],Government,Other Government
CLEAR HEALTH ALLIANCE MCD,Government,Medicaid
CLEAR HEALTH ALLIANCE [450122],Commercial,Clear
COLONIAL PENN LIFE [100295],Commercial,Colonial
COMMUNITY CARE PLAN [450141],Commercial,Other Commercial
COMMUNITY HOSPICE,Commercial,Other Commercial
COMMUNITY HOSPICE OF NORTHEAST FLORIDA [500012],Commercial,Other Commercial
COMPSYCH [100285],Commercial,Other Commercial
CONSTITUTION LIFE [100354],Commercial,Constitution
COUNTRY LIFE INSURANCE [100375],Commercial,Country
COVENTRY MCR REPLACEMENT HMO,Government,Medicare
COVENTRY [100010],Commercial,Coventry
CURATIVE [100388],Commercial,Curative
CarePlus,Commercial,CarePlus
CarePlus Health Plan,Commercial,CarePlus
Carelon,Commercial,Carelon
Careplus,Commercial,CarePlus
Careworks,Commercial,Careworks
Centurion,Commercial,Centurion
Children's Medical Services/Sunshine Health,Commercial,Sunshine
Childrens,Commercial,Other Commercial
Cigna,Commercial,Cigna
Cigna Healthcare,Commercial,Cigna
Cigna of FL,Commercial,Cigna
Clear,Commercial,Clear Springs
Clear Springs Healthcare,Commercial,Clear Springs
ClearSpring,Commercial,Clear Springs
Community,Commercial,Other Commercial
Community Care Plan,Commercial,Other Commercial
Community Care Plan Oncology,Commercial,Other Commercial
CorVel,Commercial,CorVel
Corizon,Commercial,Corizon
Corvel,Commercial,CorVel
Coventry Network Access,Commercial,Coventry
DANIEL MEMORIAL [500028],Commercial,Other Commercial
DEVOTED HEALTH MEDICARE [450132],Government,Medicare
DIMENSION HEALTH PLAN,Commercial,Dimension Health
